timestamp,equipment_id,field_id,crop_type,operational_state,engine_rpm,engine_load_pct,fuel_consumption_lh,engine_hours,hydraulic_pressure_bar,vibration_ms2,gps_speed_kmh,battery_voltage_v,ambient_temp_c,humidity_pct,soil_moisture_pct,soil_ph,nitrogen_ppm,rainfall_mm,alarm_flag
2024-01-01 00:00:00,TRACTOR_01,FIELD_A,Wheat,ACTIVE,2403.7,65.9,12.97,1250.0,162.9,3.91,7.0,12.66,0.1,78.9,45.6,7.17,160.9,0.23,0
2024-01-01 01:00:00,TRACTOR_02,FIELD_B,Maize,IDLE,720.2,20.2,2.86,1251.0,19.5,1.23,0.3,12.94,0.8,83.7,52.8,7.14,169.2,0.78,0
2024-01-01 02:00:00,IRRIGATOR_01,FIELD_C,Barley,ACTIVE,2147.1,69.2,12.57,1252.0,196.6,7.36,7.7,12.82,6.5,79.2,47.3,6.58,151.8,0.84,0
2024-01-01 03:00:00,HARVESTER_01,FIELD_D,Potato,IDLE,727.0,15.9,2.39,1253.0,21.2,1.31,0.4,12.87,5.8,80.1,45.2,6.91,144.3,0.68,0
2024-01-01 04:00:00,TRACTOR_01,FIELD_A,Wheat,IDLE,760.4,6.8,2.0,1254.0,19.1,1.26,0.0,12.62,4.0,96.5,44.8,6.65,210.6,0.51,0
2024-01-01 05:00:00,TRACTOR_02,FIELD_B,Maize,MAINTENANCE,928.8,11.9,1.87,1255.0,20.0,0.67,0.1,12.34,8.7,73.5,41.3,6.2,154.8,0.21,0
2024-01-01 06:00:00,IRRIGATOR_01,FIELD_C,Barley,ACTIVE,2351.4,69.3,12.98,1256.0,187.9,4.22,10.1,12.55,1.8,74.9,45.5,6.45,195.6,0.0,0
2024-01-01 07:00:00,HARVESTER_01,FIELD_D,Potato,ACTIVE,2365.5,74.3,13.15,1257.0,187.0,3.3,9.4,12.61,5.4,86.5,46.4,6.42,192.3,0.15,0
2024-01-01 08:00:00,TRACTOR_01,FIELD_A,Wheat,IDLE,757.7,19.0,3.63,1258.0,21.0,0.32,0.4,12.92,3.2,81.4,42.8,6.87,172.4,0.2,0
2024-01-01 09:00:00,TRACTOR_02,FIELD_B,Maize,ACTIVE,2231.9,65.5,11.74,1259.0,195.5,6.17,6.3,12.36,8.2,78.1,44.1,6.82,213.8,0.04,0
2024-01-01 10:00:00,IRRIGATOR_01,FIELD_C,Barley,ACTIVE,2018.7,59.6,10.72,1260.0,185.2,3.63,11.1,12.93,3.9,83.9,41.5,6.46,183.0,0.15,0
2024-01-01 11:00:00,HARVESTER_01,FIELD_D,Potato,MAINTENANCE,855.6,12.2,2.36,1261.0,25.8,0.92,0.4,12.9,3.7,73.9,42.3,6.41,114.0,0.03,0
2024-01-01 12:00:00,TRACTOR_01,FIELD_A,Wheat,ACTIVE,2218.6,77.7,14.45,1262.0,163.5,5.21,9.6,12.99,2.8,81.6,41.7,6.23,160.6,0.37,0
2024-01-01 13:00:00,TRACTOR_02,FIELD_B,Maize,ACTIVE,2204.7,74.3,13.32,1263.0,168.2,3.76,9.7,12.83,2.5,81.2,45.7,6.37,263.8,0.42,0
2024-01-01 14:00:00,IRRIGATOR_01,FIELD_C,Barley,ACTIVE,2055.0,63.2,11.82,1264.0,175.7,2.74,9.2,12.59,1.1,83.0,46.4,6.46,181.4,0.53,0
2024-01-01 15:00:00,HARVESTER_01,FIELD_D,Potato,ACTIVE,2092.6,89.5,16.63,1265.0,197.0,5.68,7.2,12.43,0.3,83.2,46.1,6.63,177.5,0.02,0
2024-01-01 16:00:00,TRACTOR_01,FIELD_A,Wheat,ACTIVE,2040.2,71.0,12.57,1266.0,188.2,3.09,10.8,13.02,-2.6,96.5,47.6,6.55,210.8,0.2,0
2024-01-01 17:00:00,TRACTOR_02,FIELD_B,Maize,IDLE,771.5,7.6,2.31,1267.0,16.0,0.87,0.3,12.76,-0.9,81.9,48.3,6.18,223.9,0.25,0
2024-01-01 18:00:00,IRRIGATOR_01,FIELD_C,Barley,ACTIVE,1904.9,65.4,12.14,1268.0,141.8,4.35,8.6,12.15,-4.1,83.5,53.0,6.31,151.5,0.04,0
2024-01-01 19:00:00,HARVESTER_01,FIELD_D,Potato,ACTIVE,2048.3,83.1,14.74,1269.0,159.4,4.06,9.6,12.97,-3.4,89.3,51.3,6.46,180.6,0.9,0
